Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
2,1651303783147,30/04/2022 07:29:43,1651303782916,5.5,30/04/2022 12:59:42,85779,6,questionnaire-mfi8,,21594100,kfm810wo,6383389,,complete,rpwxdn,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x649,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651303783359,30/04/2022 07:29:43,1651303782922,5.5,30/04/2022 12:59:42,85779,6,questionnaire-mfi8,,21594100,kfm810wo,6383389,,complete,rpwxdn,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x649,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651303783359,30/04/2022 07:29:43,1651303782922,5.5,30/04/2022 12:59:42,85779,6,questionnaire-mfi8,,21594100,kfm810wo,6383389,,complete,rpwxdn,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x649,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,18079
1,1651471501412,02/05/2022 06:05:01,1651471501225,5.5,02/05/2022 11:35:01,85779,6,questionnaire-mfi8,,21612397,duhn6k85,6389926,,complete,bpchhd,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651471505231,02/05/2022 06:05:05,1651471505081,5.5,02/05/2022 11:35:05,85779,6,questionnaire-mfi8,,21612397,duhn6k85,6389926,,complete,bpchhd,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651471505563,02/05/2022 06:05:05,1651471505083,5.5,02/05/2022 11:35:05,85779,6,questionnaire-mfi8,,21612397,duhn6k85,6389926,,complete,bpchhd,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651471505563,02/05/2022 06:05:05,1651471505084,5.5,02/05/2022 11:35:05,85779,6,questionnaire-mfi8,,21612397,duhn6k85,6389926,,complete,bpchhd,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,3860
1,1651478368127,02/05/2022 07:59:28,1651478365889,5.5,02/05/2022 13:29:25,85779,6,questionnaire-mfi8,,21613151,s97gywdc,6390112,,complete,mkqyba,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1226x708,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651478389762,02/05/2022 07:59:49,1651478387558,5.5,02/05/2022 13:29:47,85779,6,questionnaire-mfi8,,21613151,s97gywdc,6390112,,complete,mkqyba,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1226x708,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651478390006,02/05/2022 07:59:50,1651478387559,5.5,02/05/2022 13:29:47,85779,6,questionnaire-mfi8,,21613151,s97gywdc,6390112,,complete,mkqyba,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1226x708,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651478390006,02/05/2022 07:59:50,1651478387559,5.5,02/05/2022 13:29:47,85779,6,questionnaire-mfi8,,21613151,s97gywdc,6390112,,complete,mkqyba,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1226x708,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,21670
1,1651673288145,04/05/2022 14:08:08,1651673293343,5.5,04/05/2022 19:38:13,85779,6,questionnaire-mfi8,,21666906,3fqibna3,6406343,,complete,futrsz,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1600x900,1600x789,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651673312526,04/05/2022 14:08:32,1651673317763,5.5,04/05/2022 19:38:37,85779,6,questionnaire-mfi8,,21666906,3fqibna3,6406343,,complete,futrsz,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1600x900,1600x789,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651673313460,04/05/2022 14:08:33,1651673317765,5.5,04/05/2022 19:38:37,85779,6,questionnaire-mfi8,,21666906,3fqibna3,6406343,,complete,futrsz,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1600x900,1600x789,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651673313460,04/05/2022 14:08:33,1651673317765,5.5,04/05/2022 19:38:37,85779,6,questionnaire-mfi8,,21666906,3fqibna3,6406343,,complete,futrsz,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1600x900,1600x789,,Quality Control Questions Ban,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,24422
1,1651340077832,30/04/2022 17:34:37,1651340072907,5.5,30/04/2022 23:04:32,85779,6,questionnaire-mfi8,,21598734,dymkyl52,6384564,,complete,heolok,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651340084535,30/04/2022 17:34:44,1651340079640,5.5,30/04/2022 23:04:39,85779,6,questionnaire-mfi8,,21598734,dymkyl52,6384564,,complete,heolok,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms,অভিশাপ/সাহসী/শত্রু
3,1651340084755,30/04/2022 17:34:44,1651340079642,5.5,30/04/2022 23:04:39,85779,6,questionnaire-mfi8,,21598734,dymkyl52,6384564,,complete,heolok,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,3
4,1651340084755,30/04/2022 17:34:44,1651340079642,5.5,30/04/2022 23:04:39,85779,6,questionnaire-mfi8,,21598734,dymkyl52,6384564,,complete,heolok,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,6736
1,1651299031267,30/04/2022 06:10:31,1651299031329,5.5,30/04/2022 11:40:31,85779,6,questionnaire-mfi8,,21593824,y22eezuz,6383311,,complete,ukrjom,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
