Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
2,1651239261482,29/04/2022 13:34:21,1651239259826,5.5,29/04/2022 19:04:19,85779,6,questionnaire-nvwz,,21585058,xfv1p39q,6380640,,complete,rketnr,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1519x722,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651239261670,29/04/2022 13:34:21,1651239259827,5.5,29/04/2022 19:04:19,85779,6,questionnaire-nvwz,,21585058,xfv1p39q,6380640,,complete,rketnr,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1519x722,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,16282
1,1651229294394,29/04/2022 10:48:14,1651229276642,5.5,29/04/2022 16:17:56,85779,6,questionnaire-nvwz,,21582328,jtadkwra,6379708,,complete,hdhhir,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651229459071,29/04/2022 10:50:59,1651229440332,5.5,29/04/2022 16:20:40,85779,6,questionnaire-nvwz,,21582328,jtadkwra,6379708,,complete,hdhhir,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1651229459692,29/04/2022 10:50:59,1651229440334,5.5,29/04/2022 16:20:40,85779,6,questionnaire-nvwz,,21582328,jtadkwra,6379708,,complete,hdhhir,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,163692
1,1651168955575,28/04/2022 18:02:35,1651168955652,5.5,28/04/2022 23:32:35,85779,6,questionnaire-nvwz,,21572774,vjlaqurv,6376871,,complete,bidlay,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x746,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651169019509,28/04/2022 18:03:39,1651169019099,5.5,28/04/2022 23:33:39,85779,6,questionnaire-nvwz,,21572774,vjlaqurv,6376871,,complete,bidlay,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1519x746,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651169019947,28/04/2022 18:03:39,1651169019102,5.5,28/04/2022 23:33:39,85779,6,questionnaire-nvwz,,21572774,vjlaqurv,6376871,,complete,bidlay,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1519x746,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,63450
1,1651161931203,28/04/2022 16:05:31,1651161931724,5.5,28/04/2022 21:35:31,85779,6,questionnaire-nvwz,,21570786,9gwbl9xs,6376262,,complete,alnyuo,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1188x668,1189x531,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651162016793,28/04/2022 16:06:56,1651162016910,5.5,28/04/2022 21:36:56,85779,6,questionnaire-nvwz,,21570786,9gwbl9xs,6376262,,complete,alnyuo,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1188x668,1172x531,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651162017109,28/04/2022 16:06:57,1651162016914,5.5,28/04/2022 21:36:56,85779,6,questionnaire-nvwz,,21570786,9gwbl9xs,6376262,,complete,alnyuo,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1188x668,1172x531,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,85191
1,1651065711726,27/04/2022 13:21:51,1651065710928,5.5,27/04/2022 18:51:50,85779,6,questionnaire-nvwz,,21541975,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1600x757,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651065715859,27/04/2022 13:21:55,1651065715063,5.5,27/04/2022 18:51:55,85779,6,questionnaire-nvwz,,21541975,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1583x757,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651065716128,27/04/2022 13:21:56,1651065715065,5.5,27/04/2022 18:51:55,85779,6,questionnaire-nvwz,,21541975,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1583x757,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,4138
1,1651056616514,27/04/2022 10:50:16,1651056617263,5.5,27/04/2022 16:20:17,85779,6,questionnaire-nvwz,,21537547,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651056624589,27/04/2022 10:50:24,1651056625322,5.5,27/04/2022 16:20:25,85779,6,questionnaire-nvwz,,21537547,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651056624798,27/04/2022 10:50:24,1651056625330,5.5,27/04/2022 16:20:25,85779,6,questionnaire-nvwz,,21537547,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x625,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,8068
1,1650812919022,24/04/2022 15:08:39,1650812918539,5.5,24/04/2022 20:38:38,85779,6,questionnaire-nvwz,,21469076,zl7a6z8g,6348692,,complete,gouvcq,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1536x722,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1650812938150,24/04/2022 15:08:58,1650812937418,5.5,24/04/2022 20:38:57,85779,6,questionnaire-nvwz,,21469076,zl7a6z8g,6348692,,complete,gouvcq,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1519x722,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1650812938337,24/04/2022 15:08:58,1650812937420,5.5,24/04/2022 20:38:57,85779,6,questionnaire-nvwz,,21469076,zl7a6z8g,6348692,,complete,gouvcq,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1536x864,1519x722,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,18881
END OF FILE
