Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
2,1662134274762,02/09/2022 15:57:54,1662134275166,2,02/09/2022 17:57:55,80062,4,questionnaire-nvwz,,23954912,h0x0auyk,7062597,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1349x625,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1662134274874,02/09/2022 15:57:54,1662134275168,2,02/09/2022 17:57:55,80062,4,questionnaire-nvwz,,23954912,h0x0auyk,7062597,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1349x625,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,11877
1,1666207043113,19/10/2022 19:17:23,1666207042282,-5,19/10/2022 14:17:22,80062,4,questionnaire-nvwz,,24695165,9vi2ebvk,7290937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x629,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1666207180745,19/10/2022 19:19:40,1666207179974,-5,19/10/2022 14:19:39,80062,4,questionnaire-nvwz,,24695165,9vi2ebvk,7290937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x629,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1666207181029,19/10/2022 19:19:41,1666207179975,-5,19/10/2022 14:19:39,80062,4,questionnaire-nvwz,,24695165,9vi2ebvk,7290937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x629,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,137693
1,1667924135344,08/11/2022 16:15:35,1667924135226,-5,08/11/2022 11:15:35,80062,4,questionnaire-nvwz,,25109712,whpae27q,7415430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1200,1920x1032,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1667924156511,08/11/2022 16:15:56,1667924156442,-5,08/11/2022 11:15:56,80062,4,questionnaire-nvwz,,25109712,whpae27q,7415430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1200,1903x1032,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1667924156642,08/11/2022 16:15:56,1667924156443,-5,08/11/2022 11:15:56,80062,4,questionnaire-nvwz,,25109712,whpae27q,7415430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1200,1903x1032,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,21217
1,1674485421792,23/01/2023 14:50:21,1674485546860,1,23/01/2023 15:52:26,80062,4,questionnaire-nvwz,,26563560,3yfjgpmy,7852342,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,,,,Consent form,3,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1674485426216,23/01/2023 14:50:26,1674485551319,1,23/01/2023 15:52:31,80062,4,questionnaire-nvwz,,26563560,3yfjgpmy,7852342,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1263x569,,,,Consent form,3,"YES=left arrow,",No,consent,1
3,1674485426303,23/01/2023 14:50:26,1674485551320,1,23/01/2023 15:52:31,80062,4,questionnaire-nvwz,,26563560,3yfjgpmy,7852342,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1263x569,,,,Consent form,3,"YES=left arrow,",No,END QUESTIONNAIRE,4460
1,1675102364140,30/01/2023 18:12:44,1675102370121,0,30/01/2023 18:12:50,80062,4,questionnaire-nvwz,,26786633,warzddcf,7951390,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 109.0,1920x1080,1920x927,,,,Consent form,3,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1675102540578,30/01/2023 18:15:40,1675102546548,0,30/01/2023 18:15:46,80062,4,questionnaire-nvwz,,26786633,warzddcf,7951390,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 109.0,1920x1080,1903x927,,,,Consent form,3,"YES=left arrow,",No,consent,1
3,1675102540646,30/01/2023 18:15:40,1675102546553,0,30/01/2023 18:15:46,80062,4,questionnaire-nvwz,,26786633,warzddcf,7951390,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 109.0,1920x1080,1903x927,,,,Consent form,3,"YES=left arrow,",No,END QUESTIONNAIRE,176432
1,1678394162004,09/03/2023 20:36:02,1678394159573,-5,09/03/2023 15:35:59,80062,4,questionnaire-nvwz,,27995252,xxztzzs6,8314237,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,,,Consent form,3,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1678394175822,09/03/2023 20:36:15,1678394173259,-5,09/03/2023 15:36:13,80062,4,questionnaire-nvwz,,27995252,xxztzzs6,8314237,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1349x657,,,,Consent form,3,"YES=left arrow,",No,consent,1
