Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
2,1646682987158,07/03/2022 19:56:27,1646682986233,0,07/03/2022 19:56:26,80062,4,questionnaire-99dv,,20162310,gx7kjhbm,5978736,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1263x601,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,
3,1646682987225,07/03/2022 19:56:27,1646682986238,0,07/03/2022 19:56:26,80062,4,questionnaire-99dv,,20162310,gx7kjhbm,5978736,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1263x601,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,17385
1,1646761017875,08/03/2022 17:36:57,1646761018609,-5,08/03/2022 12:36:58,80062,4,questionnaire-99dv,,20201603,xqd2ix4o,5992960,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x754,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1646761023937,08/03/2022 17:37:03,1646761024703,-5,08/03/2022 12:37:04,80062,4,questionnaire-99dv,,20201603,xqd2ix4o,5992960,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x754,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,
3,1646761024156,08/03/2022 17:37:04,1646761024704,-5,08/03/2022 12:37:04,80062,4,questionnaire-99dv,,20201603,xqd2ix4o,5992960,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x754,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,6095
1,1666207767662,19/10/2022 19:29:27,1666207766855,-5,19/10/2022 14:29:26,80062,4,questionnaire-99dv,,24695759,9vi2ebvk,7290937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x629,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1666207816611,19/10/2022 19:30:16,1666207815821,-5,19/10/2022 14:30:15,80062,4,questionnaire-99dv,,24695759,9vi2ebvk,7290937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x629,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,"It's too quick and does not give you time to think some words which are slightly formal. Native bengali speakers often do not use many words which are highly literary, so to speak."
3,1666207816807,19/10/2022 19:30:16,1666207815823,-5,19/10/2022 14:30:15,80062,4,questionnaire-99dv,,24695759,9vi2ebvk,7290937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1349x629,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,48968
1,1667924934484,08/11/2022 16:28:54,1667924934373,-5,08/11/2022 11:28:54,80062,4,questionnaire-99dv,,25110269,whpae27q,7415430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1200,1920x1032,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1667924939767,08/11/2022 16:28:59,1667924939683,-5,08/11/2022 11:28:59,80062,4,questionnaire-99dv,,25110269,whpae27q,7415430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1200,1903x1032,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,
3,1667924939884,08/11/2022 16:28:59,1667924939684,-5,08/11/2022 11:28:59,80062,4,questionnaire-99dv,,25110269,whpae27q,7415430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1200,1903x1032,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,5311
1,1672360711326,30/12/2022 00:38:31,1672360711237,1,30/12/2022 01:38:31,80062,4,questionnaire-99dv,,26157787,o26hhhvh,7722067,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 94.0.0.0,2048x1152,1977x945,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1672360830842,30/12/2022 00:40:30,1672360830776,1,30/12/2022 01:40:30,80062,4,questionnaire-99dv,,26157787,o26hhhvh,7722067,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 94.0.0.0,2048x1152,1977x945,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,
3,1672360830998,30/12/2022 00:40:30,1672360830778,1,30/12/2022 01:40:30,80062,4,questionnaire-99dv,,26157787,o26hhhvh,7722067,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 94.0.0.0,2048x1152,1977x945,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,119541
1,1672807050922,04/01/2023 04:37:30,1672807050952,11,04/01/2023 15:37:30,80062,4,questionnaire-99dv,,26192704,df20d1t5,7733439,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x880,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1672807093293,04/01/2023 04:38:13,1672807093375,11,04/01/2023 15:38:13,80062,4,questionnaire-99dv,,26192704,df20d1t5,7733439,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x880,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,n/a
3,1672807093605,04/01/2023 04:38:13,1672807093376,11,04/01/2023 15:38:13,80062,4,questionnaire-99dv,,26192704,df20d1t5,7733439,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x880,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,42424
1,1673536786538,12/01/2023 15:19:46,1673536786391,1,12/01/2023 16:19:46,80062,4,questionnaire-99dv,,26346543,t3iun84y,7777550,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1920x1080,1920x1001,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
