Participant,RT,ACC,Condition,Item.no,yesButton,Source,Prefix
5976580,389.90000009536743,0,SemViol,253,left,Prolific,duh
5976580,483.59999990463257,0,SemViol,263,left,Prolific,duh
5976580,377.89999985694885,0,CatViol,6,left,Prolific,proti
5976580,496,1,SemViol,245,left,Prolific,proti
5976580,642.5,0,CatViol,74,left,Prolific,proti
5976580,681.5,0,SemViol,291,left,Prolific,duh
5976580,619.8999998569489,0,SemViol,232,left,Prolific,duh
5976580,700.2000000476837,1,Gramm,223,left,Prolific,proti
5976580,755.7999999523163,1,Gramm,180,left,Prolific,proti
5976580,439.59999990463257,0,CatViol,52,left,Prolific,duh
5976580,323.80000019073486,0,CatViol,16,left,Prolific,proti
5976580,565.1000001430511,0,SemViol,244,left,Prolific,proti
5976580,645.2999999523163,0,CatViol,39,left,Prolific,proti
5976580,724.2000000476837,0,SemViol,302,left,Prolific,duh
5976580,1001.2999999523164,0,CatViol,36,left,Prolific,proti
5976580,535.5,1,Gramm,216,left,Prolific,proti
5976580,539.4000000953674,0,SemViol,276,left,Prolific,duh
5976580,465.90000009536743,0,SemViol,270,left,Prolific,proti
5976580,507.2000000476837,0,SemViol,295,left,Prolific,duh
5976580,365,0,CatViol,66,left,Prolific,duh
5976580,372.7000000476837,0,SemViol,282,left,Prolific,duh
5976580,313.69999980926514,0,CatViol,23,left,Prolific,duh
5976580,367.60000014305115,1,Gramm,213,left,Prolific,duh
5976580,339.7000000476837,0,SemViol,258,left,Prolific,proti
5976580,358.09999990463257,0,SemViol,290,left,Prolific,duh
5976580,382.2000000476837,0,SemViol,300,left,Prolific,duh
5976580,344.90000009536743,0,SemViol,294,left,Prolific,duh
5976580,368.30000019073486,0,SemViol,269,left,Prolific,duh
5976580,278.60000014305115,0,SemViol,292,left,Prolific,proti
5976580,420.60000014305115,0,CatViol,70,left,Prolific,duh
5976580,520.5,1,SemViol,231,left,Prolific,proti
5976580,224.20000004768372,1,Gramm,215,left,Prolific,proti
5976580,275.19999980926514,0,CatViol,43,left,Prolific,proti
5976580,404.60000014305115,0,CatViol,56,left,Prolific,duh
5976580,388.30000019073486,0,SemViol,229,left,Prolific,duh
5976580,351.09999990463257,1,Gramm,183,left,Prolific,duh
5976580,362.2999999523163,1,Gramm,181,left,Prolific,duh
5976580,433.60000014305115,0,CatViol,5,left,Prolific,proti
5976580,1188.5999999046326,0,CatViol,10,left,Prolific,duh
5976580,1132.5999999046326,0,SemViol,266,left,Prolific,duh
5976580,642.4000000953674,0,SemViol,233,left,Prolific,duh
5976580,612.7999999523163,0,CatViol,2,left,Prolific,duh
5976580,727.3999998569489,1,SemViol,234,left,Prolific,duh
5976580,994.1000001430511,1,SemViol,301,left,Prolific,proti
5976580,1078.5,1,SemViol,265,left,Prolific,proti
5976580,772.7000000476837,0,CatViol,12,left,Prolific,duh
5976580,667.6999998092651,0,SemViol,239,left,Prolific,duh
5976580,782.6000001430511,0,CatViol,34,left,Prolific,proti
5976580,500.7000000476837,0,CatViol,8,left,Prolific,duh
5976580,515.2000000476837,1,Gramm,200,left,Prolific,proti
5976580,615.6000001430511,0,CatViol,25,left,Prolific,duh
5976580,980,0,Gramm,210,left,Prolific,duh
5976580,535.5999999046326,1,Gramm,199,left,Prolific,proti
5976580,586.0999999046326,0,SemViol,293,left,Prolific,proti
5976580,449,0,CatViol,47,left,Prolific,proti
5976580,1204.5,1,Gramm,184,left,Prolific,proti
5976580,1092.5,1,Gramm,217,left,Prolific,proti
5976580,1049.8999998569489,0,Gramm,206,left,Prolific,proti
5976580,1341.8000001907349,1,SemViol,288,left,Prolific,proti
5976580,865.2000000476837,1,SemViol,262,left,Prolific,duh
5976580,1185.2999999523165,0,CatViol,15,left,Prolific,duh
5976580,817.1000001430511,1,CatViol,53,left,Prolific,duh
5976580,915.2000000476836,1,Gramm,170,left,Prolific,duh
5976580,1052.9000000953674,1,Gramm,194,left,Prolific,proti
5976580,1731.1000001430511,1,Gramm,178,left,Prolific,duh
5976580,1218.4000000953674,1,Gramm,211,left,Prolific,duh
5976580,1279.9000000953674,1,CatViol,24,left,Prolific,proti
5976580,1122.5,1,Gramm,177,left,Prolific,proti
5976580,994,0,CatViol,42,left,Prolific,duh
5976580,1187.7999999523165,1,SemViol,260,left,Prolific,proti
5976580,924.3999998569489,0,CatViol,60,left,Prolific,duh
5976580,998.5999999046326,0,SemViol,272,left,Prolific,proti
5976580,774.7999999523163,0,SemViol,257,left,Prolific,duh
5976580,1320.5,1,CatViol,38,left,Prolific,proti
5976580,741.5,1,Gramm,193,left,Prolific,duh
5976580,617.3000001907349,0,SemViol,247,left,Prolific,proti
5976580,634.8999998569489,1,Gramm,197,left,Prolific,duh
5976580,461.69999980926514,1,Gramm,225,left,Prolific,duh
5976580,418.5,0,CatViol,26,left,Prolific,proti
5976580,444.2999999523163,0,CatViol,32,left,Prolific,proti
5976580,471.7999999523163,1,Gramm,226,left,Prolific,duh
5976580,400.59999990463257,0,CatViol,68,left,Prolific,proti
5976580,785.3999998569489,1,SemViol,250,left,Prolific,duh
