Participant,RT,ACC,Condition,Item.no,yesButton,Source,Prefix
6384564,1174.89999999851,1,Gramm,175,left,mTurk,duh
6384564,790.7000000029802,1,Gramm,224,left,mTurk,proti
6384564,1115.300000000745,1,CatViol,1,left,mTurk,proti
6384564,1439.800000000745,1,SemViol,245,left,mTurk,proti
6384564,1121.60000000149,1,SemViol,241,left,mTurk,proti
6384564,1467.800000000745,1,SemViol,254,left,mTurk,proti
6384564,1895.10000000149,1,SemViol,303,left,mTurk,duh
6384564,989.5,1,SemViol,293,left,mTurk,proti
6384564,1690.5999999977648,1,Gramm,183,left,mTurk,duh
6384564,1452,1,CatViol,4,left,mTurk,proti
6384564,1598.5999999977648,1,Gramm,181,left,mTurk,duh
6384564,666.8999999985099,1,Gramm,202,left,mTurk,duh
6384564,1001.39999999851,1,Gramm,184,left,mTurk,proti
6384564,1294.5,1,CatViol,50,left,mTurk,duh
6384564,1514.39999999851,1,SemViol,302,left,mTurk,duh
6384564,1284.39999999851,1,SemViol,252,left,mTurk,proti
6384564,1065.5,1,Gramm,189,left,mTurk,duh
6384564,1858.699999999255,1,SemViol,234,left,mTurk,duh
6384564,1846.199999999255,1,CatViol,7,left,mTurk,duh
6384564,1754.699999999255,1,SemViol,275,left,mTurk,proti
6384564,836.1000000014901,1,CatViol,57,left,mTurk,proti
6384564,814.6000000014901,1,SemViol,260,left,mTurk,proti
6384564,1255.7999999970198,1,Gramm,190,left,mTurk,proti
6384564,1028.699999999255,1,Gramm,219,left,mTurk,proti
6384564,1234.4000000022352,1,CatViol,45,left,mTurk,duh
6384564,1149.10000000149,1,CatViol,32,left,mTurk,proti
6384564,1111.300000000745,1,Gramm,212,left,mTurk,duh
6384564,1372.199999999255,1,Gramm,197,left,mTurk,duh
6384564,1336.39999999851,1,CatViol,29,left,mTurk,duh
6384564,761.9000000022352,1,Gramm,206,left,mTurk,proti
6384564,1679.4000000022352,1,SemViol,236,left,mTurk,proti
6384564,1947.39999999851,1,SemViol,251,left,mTurk,duh
6384564,1492.800000000745,1,CatViol,34,left,mTurk,proti
6384564,958.6999999992548,1,Gramm,193,left,mTurk,duh
6384564,1834.10000000149,1,CatViol,70,left,mTurk,duh
6384564,1062,1,SemViol,285,left,mTurk,proti
6384564,1045.2999999970198,1,Gramm,171,left,mTurk,proti
6384564,1171.300000000745,1,Gramm,186,left,mTurk,duh
6384564,1193,1,Gramm,185,left,mTurk,proti
6384564,1412,1,SemViol,270,left,mTurk,proti
6384564,1631.699999999255,1,SemViol,300,left,mTurk,duh
6384564,1005.0999999977648,1,Gramm,174,left,mTurk,duh
6384564,1376.300000000745,1,Gramm,182,left,mTurk,proti
6384564,1846.4000000022352,1,CatViol,76,left,mTurk,proti
6384564,1248.199999999255,1,SemViol,295,left,mTurk,duh
6384564,1567.7999999970198,1,Gramm,178,left,mTurk,duh
6384564,1123.9000000022352,1,SemViol,256,left,mTurk,proti
6384564,1848.70000000298,1,CatViol,11,left,mTurk,proti
6384564,1627.60000000149,1,CatViol,48,left,mTurk,proti
6384564,1820.39999999851,1,Gramm,187,left,mTurk,proti
6384564,1258.699999999255,1,SemViol,287,left,mTurk,duh
6384564,979.7999999970198,1,CatViol,38,left,mTurk,proti
6384564,1213.199999999255,1,SemViol,265,left,mTurk,proti
6384564,866.5,1,CatViol,30,left,mTurk,duh
6384564,727.8999999985099,1,Gramm,216,left,mTurk,proti
6384564,1153.0999999977648,1,CatViol,60,left,mTurk,duh
6384564,1058.699999999255,1,SemViol,268,left,mTurk,duh
6384564,984.89999999851,1,SemViol,267,left,mTurk,duh
6384564,1512.10000000149,1,Gramm,228,left,mTurk,proti
6384564,1216.800000000745,1,Gramm,221,left,mTurk,duh
6384564,1610.89999999851,1,CatViol,62,left,mTurk,duh
6384564,1031.800000000745,1,CatViol,5,left,mTurk,proti
6384564,1648.4000000022352,1,SemViol,233,left,mTurk,duh
6384564,1714.800000000745,1,Gramm,180,left,mTurk,proti
6384564,826.5,1,Gramm,169,left,mTurk,duh
