ItemNo,Condition,ITEMNO,length,noise,stim,width,height,blackPx,luminance,Word,WordPhonetic,WordLenPhonemic,WordLenPhonetic,WordLength,WordLenUnicode,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq_old,log_stemFreq_old,stemFreq_new,log_stemFreq_new,Types,Exclude,wordFreq_old,log_wordFreq_old,TP_old,log_TP_old,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
C08,CatViol,C08,8,a,দুঃসম্ভব,420,200,15452,123.6808079,দুঃসম্ভব,d̪uʃɔmbʱɔb,8,10,4,8,8,সম্ভব,N/Adj,,NA,377.101841,2.57645865262357,369.56,2.5676849584372,871,NA,0.1,-1,0.000265180354820914,-3.57645865262357,0.0546218261387122,-0.00515701382661901,0.0150956959532413,0.0127070815959022,-0.0433023850855714,46.8869537641429
G20,Gramm,G20,7,a,প্রতিপণ,417,158,15235,130.420673,প্রতিপণ,prot̪ipɔn,8,10,4,7,7,পণ,,,3.233333333,370.5609595,2.56885966223911,337.21,2.52790044519477,5970,NA,0.1,-1,0.000269861131984682,-3.56885966223911,0.0546218261387122,-0.0647599791255382,0.0149884522432894,0.0677881280703793,-0.0273074988002625,46.0744941752314
C09,CatViol,C09,8,a,দুঃশান্ত,359,200,13315,122.5969103,দুঃশান্ত,d̪uʃant̪o,7,9,3,8,8,শান্ত,Adj,,NA,347.763592,2.54128411297103,375.585,2.57470823921891,4010,NA,0.1,-1,0.000287551665270354,-3.54128411297103,0.0477940978713732,0.0550905782006281,-0.033507261957935,0.056292272982632,7.94527094046174E-05,41.2866695319172
F10,Filler,F10,7,a,কৃষিজমি,481,197,20323,126.4361464,কৃষিজমি,kriʃiɟomi,9,9,4,7,7,জমি,,,NA,345.845099,2.53888162563466,293.968,2.46830005769176,2309,NA,0.1,-1,0.00028914678938388,-3.53888162563466,0.0614495544060513,-0.125007571152784,-0.03005506909948,0.0639156129983297,0.0573126140310711,56.8099313070129
C10,CatViol,C10,9,a,দুর্বৃদ্ধ,286,200,12304,134.6966997,দুর্বৃদ্ধ,d̪urbrid̪d̪ʱo,9,13,3,9,9,বৃদ্ধ,Adj,,NA,336.9407666,2.52755355962562,357.157,2.55285916637875,3268,NA,0.1,-1,0.000296788070523729,-3.52755355962562,0.0614495544060513,-0.005801640554946,-0.123487060933523,0.0846014415287406,-0.0849490969499183,37.1293580860307
S06,SemViol,S06,7,a,দুর্লতা,326,200,12729,126.771163,দুর্লতা,d̪urlot̪a,7,10,3,7,7,লতা,,,6.233333333,324.3525965,2.51101737888443,278.943,2.44551546737923,7097,NA,0.1,-1,0.000308306457475823,-3.51101737888443,0.0477940978713732,-0.00451238709829112,-0.0336145056678869,0.102651611656492,-0.0204925851784856,38.9687948907117
C11,CatViol,C11,10,a,প্রতিদীর্ঘ,470,158,19552,120.5574787,প্রতিদীর্ঘ,prot̪id̪irgʱo,10,13,4,10,10,দীর্ঘ,Adj,,NA,316.1674402,2.49991714304855,287.712,2.45895797598521,1809,NA,0.1,-1,0.000316288103344046,-3.49991714304855,0.0682772826733903,-0.00644626728327395,-0.0747768593123954,-0.0429033138831147,-0.00245544370144888,57.3877014236217
G21,Gramm,G21,6,a,দুরাশা,349,200,12754,124.6575282,দুরাশা,d̪uraʃa,6,8,3,6,6,আশা,,,1.466666667,315.7659433,2.49936528769105,318.924,2.50368720245203,1413,NA,0.1,-1,0.000316690264171374,-3.49936528769105,0.0409663696040342,-0.0038677603699637,0.0113217719649312,0.117962760237764,0.0157659446872186,37.2383695292952
G22,Gramm,G22,10,a,প্রতিরক্ষা,493,158,19673,122.3023259,প্রতিরক্ষা,prot̪irɔkkʰa,10,13,4,10,10,রক্ষা,,,2.1,311.7778786,2.49384529769448,283.718,2.45288688973555,2480,NA,0.1,-1,0.000320741164989119,-3.49384529769448,0.0682772826733903,-0.00644626728327395,-0.0747768593123954,-0.0369717680911141,0.0255270932788157,56.4287924056864
G23,Gramm,G23,8,a,প্রতিলাভ,484,158,18611,131.1612166,প্রতিলাভ,prot̪ilabʱ,8,11,4,8,8,লাভ,,,2.1,300.3693643,2.47765563540955,279.344,2.44613934763148,5774,NA,0.1,-1,0.000332923433230438,-3.47765563540955,0.0546218261387122,-0.00515701382661901,0.0150956959532413,0.0381364640351955,0.0351778740916739,54.6172114842215
